Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,Geekbench_Single,Geekbench_Multi
Legacy Intel® Core™ Processors,Desktop,i7-980X,End of Interactive Support,14610.0,32.0,1.0,6.0,12.0,3.33,3.6,12 MB SmartCache,6.4 GT/s QPI,130.0,No,,24 GB,DDR3 1066,3,25.6 GB/s,No,,,,,,,,,,,,,,,67.9°C,Yes,Yes,Yes,64.0,SSE4.2,Yes,No,,Yes,730.4,3224.2
Legacy Intel® Core™ Processors,Desktop,i7-990X,End of Interactive Support,14975.0,32.0,1.0,6.0,12.0,3.46,3.73,12 MB SmartCache,6.4 GT/s QPI,130.0,No,,24 GB,DDR3 1066,3,25.6 GB/s,No,,,,,,,,,,,,,,,67.9°C,Yes,Yes,Yes,64.0,SSE4.2,Yes,No,,Yes,709.2,3801.0
Legacy Intel® Core™ Processors,Mobile,i7-2920XM,Launched,14975.0,32.0,,4.0,8.0,2.5,3.5,8 MB SmartCache,,55.0,No,Yes,32 GB,DDR3 1066/1333/1600,2,25.6 GB/s,No,,650 MHz,1.30 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8+2x4",16,100 C,Yes,Yes,Yes,64.0,AVX,Yes,Yes,,Yes,538.2,2114.2
Intel® Pentium® Processor G Series,Desktop,G2020,End of Life,15706.0,22.0,64.0,2.0,2.0,2.9,,3 MB SmartCache,5 GT/s DMI,55.0,No,Yes,32 GB,DDR3 1333,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,568.6,1037.8
Intel® Pentium® Processor G Series,Desktop,G2030,Launched,15796.0,22.0,64.0,2.0,2.0,3.0,,3 MB SmartCache,5 GT/s DMI,55.0,No,Yes,32 GB,DDR3 1333/1600,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,573.8,1065.8
Intel® Pentium® Processor G Series,Desktop,G2020T,Launched,15706.0,22.0,64.0,2.0,2.0,2.5,,3 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3 1333,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,477.4,833.2
Intel® Pentium® Processor G Series,Desktop,G2030T,Launched,15796.0,22.0,64.0,2.0,2.0,2.6,,3 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3 1333/1600,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,425.2,668.4
Intel® Pentium® Processor G Series,Desktop,G2100T,End of Life,15522.0,22.0,,2.0,2.0,2.6,,3 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,522.0,958.0
Intel® Pentium® Processor G Series,Desktop,G2120,Launched,15522.0,22.0,65.0,2.0,2.0,3.1,,3 MB SmartCache,5 GT/s DMI,55.0,Yes,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,613.0,1146.6
Intel® Pentium® Processor G Series,Desktop,G2130,Launched,15706.0,22.0,75.0,2.0,2.0,3.2,,3 MB SmartCache,5 GT/s DMI,55.0,No,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,630.4,986.8
Intel® Pentium® Processor G Series,Desktop,G2140,End of Life,15796.0,22.0,93.0,2.0,2.0,3.3,,3 MB SmartCache,5 GT/s DMI,55.0,No,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,527.6,1023.0
Intel® Pentium® Processor G Series,Desktop,G4400T,Launched,16617.0,14.0,64.0,2.0,2.0,2.9,,3 MB SmartCache,8 GT/s DMI3,35.0,No,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,Yes,,350 MHz,950 MHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,726.8,1309.4
Intel® Pentium® Processor G Series,Desktop,G4400,Launched,16617.0,14.0,64.0,2.0,2.0,3.3,,3 MB SmartCache,8 GT/s DMI3,54.0,Yes,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,Yes,,350 MHz,1.00 GHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,851.2,1572.2
Intel® Pentium® Processor G Series,Desktop,G4560,Launched,17167.0,14.0,64.0,2.0,4.0,3.5,,3 MB,8 GT/s DMI3,54.0,No,Yes,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,,Yes,,350 MHz,1.05 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,852.2,1919.6
Intel® Pentium® Processor G Series,Desktop,G4520,Launched,16617.0,14.0,86.0,2.0,2.0,3.6,,3 MB SmartCache,8 GT/s DMI3,51.0,No,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,Yes,,350 MHz,1.05 GHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,842.4,1598.6
Intel® Pentium® Processor G Series,Desktop,G4500,Launched,16617.0,14.0,75.0,2.0,2.0,3.5,,3 MB SmartCache,8 GT/s DMI3,51.0,No,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,Yes,,350 MHz,1.05 GHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,825.8,1518.4
Intel® Pentium® Processor G Series,Desktop,G4500T,Launched,16617.0,14.0,75.0,2.0,2.0,3.0,,3 MB SmartCache,8 GT/s DMI3,35.0,No,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,Yes,,350 MHz,950 MHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,639.0,1071.0
Intel® Pentium® Processor G Series,Desktop,G4560T,Launched,17167.0,14.0,64.0,2.0,4.0,2.9,,3 MB,8 GT/s DMI3,35.0,No,Yes,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,,Yes,,350 MHz,1.05 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,92°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,729.4,1661.8
Intel® Pentium® Processor G Series,Desktop,G4620,Launched,17167.0,14.0,86.0,2.0,4.0,3.7,,3 MB,8 GT/s DMI3,51.0,No,Yes,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,,Yes,,350 MHz,1.10 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,806.0,1868.2
Intel® Pentium® Processor G Series,Desktop,G4600,Launched,17167.0,14.0,75.0,2.0,4.0,3.6,,3 MB,8 GT/s DMI3,51.0,No,Yes,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,,Yes,,350 MHz,1.10 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,853.6,1965.4
Intel® Pentium® Processor G Series,Desktop,G4600T,Launched,17167.0,14.0,75.0,2.0,4.0,3.0,,3 MB,8 GT/s DMI3,35.0,No,Yes,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,,Yes,,350 MHz,1.05 GHz,64 GB,,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,92°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,735.0,1570.0
Intel® Pentium® Processor G Series,Desktop,G3220,End of Life,15887.0,22.0,54.0,2.0,2.0,3.0,,3 MB SmartCache,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,350 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C ,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,668.4,1238.4
Intel® Pentium® Processor G Series,Desktop,G3240,End of Life,16161.0,22.0,54.0,2.0,2.0,3.1,,3 MB SmartCache,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,350 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,648.8,842.0
Intel® Pentium® Processor G Series,Desktop,G3220T,End of Life,15887.0,22.0,64.0,2.0,2.0,2.6,,3 MB SmartCache,5 GT/s DMI2,35.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,200 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,564.2,978.2
Intel® Pentium® Processor G Series,Desktop,G3240T,End of Life,16161.0,22.0,64.0,2.0,2.0,2.7,,3 MB SmartCache,5 GT/s DMI2,35.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,200 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C ,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,552.8,1084.2
Intel® Pentium® Processor G Series,Desktop,G3250,End of Life,16252.0,22.0,50.0,2.0,2.0,3.2,,3 MB SmartCache,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,350 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,694.2,1213.6
Intel® Pentium® Processor G Series,Desktop,G3258,End of Life,16161.0,22.0,72.0,2.0,2.0,3.2,,3 MB,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,350 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,766.2,1337.0
Intel® Pentium® Processor G Series,Desktop,G3260,End of Life,16436.0,22.0,64.0,2.0,2.0,3.3,,3 MB,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,350 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,695.2,1303.8
Intel® Pentium® Processor G Series,Desktop,G3250T,End of Life,16252.0,22.0,64.0,2.0,2.0,2.8,,3 MB SmartCache,5 GT/s DMI2,35.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,200 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,509.0,938.8
Intel® Pentium® Processor G Series,Desktop,G3260T,End of Life,16436.0,22.0,64.0,2.0,2.0,2.9,,3 MB,5 GT/s DMI2,35.0,No,Yes,32 GB,"DDR3-1333, DDR3L-1333 @ 1.5V",2,21.3 GB/s,Yes,,200 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,334.0,574.0
Intel® Pentium® Processor G Series,Desktop,G3420,Launched,15887.0,22.0,75.0,2.0,2.0,3.2,,3 MB SmartCache,5 GT/s DMI2,53.0,Yes,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.15 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C ,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,710.6,1338.8
Intel® Pentium® Processor G Series,Desktop,G3430,End of Life,15887.0,22.0,86.0,2.0,2.0,3.3,,3 MB SmartCache,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C ,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,741.0,1198.2
Intel® Pentium® Processor G Series,Desktop,G3440,End of Life,16161.0,22.0,75.0,2.0,2.0,3.3,,3 MB SmartCache,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,695.6,1203.4
Intel® Pentium® Processor G Series,Desktop,G3450,End of Life,16161.0,22.0,75.0,2.0,2.0,3.4,,3 MB SmartCache,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,424.4,789.2
Intel® Pentium® Processor G Series,Desktop,G3450T,End of Life,16252.0,22.0,75.0,2.0,2.0,2.9,,3 MB SmartCache,5 GT/s DMI2,35.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,200 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C ,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,642.0,938.0
Intel® Pentium® Processor G Series,Desktop,G3460,End of Life,16252.0,22.0,75.0,2.0,2.0,3.5,,3 MB SmartCache,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,778.8,1415.8
Intel® Pentium® Processor G Series,Desktop,G3470,End of Life,16436.0,22.0,86.0,2.0,2.0,3.6,,3 MB,5 GT/s DMI2,53.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.10 GHz,1.7 GB,eDP/DP/HDMI/DVI/VGA,,1920x1080@60Hz,2560x1600@60Hz,2560x1600@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,No,Yes,Yes,64.0,SSE4.1/4.2,,Yes,Yes,Yes,740.2,1377.2
Intel® Celeron® Processor 2000 Series,Mobile,2950M,Launched,15979.0,22.0,75.0,2.0,2.0,2.0,,2 MB SmartCache,5 GT/s DMI2,37.0,No,Yes,32 GB,DDR3L 1333/1600,2,25.6 GB/s,No,,400 MHz,1.10 GHz,,eDP/DP/HDMI/VGA ,,,,,,,2,1x16 or 2x8 or 1x8 2x4,16,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,,Yes,Yes,Yes,414.0,744.0
Intel® Celeron® Processor 2000 Series,Mobile,2955U,Launched,15887.0,22.0,107.0,2.0,2.0,1.4,,2 MB SmartCache,5 GT/s DMI2,15.0,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,1.00 GHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 1x4, 1x2",10,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,300.2,536.0
Intel® Celeron® Processor 2000 Series,Mobile,2957U,Launched,15979.0,22.0,107.0,2.0,2.0,1.4,,2 MB SmartCache,5 GT/s DMI2,15.0,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,1.00 GHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 1x4, 1x2",10,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,274.2,516.2
Intel® Celeron® Processor 2000 Series,Mobile,2961Y,Launched,15979.0,22.0,,2.0,2.0,1.1,,2 MB SmartCache,5 GT/s DMI2,11.5,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,850 MHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 2x4",12,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,245.0,484.0
Intel® Celeron® Processor 2000 Series,Mobile,2980U,Launched,15887.0,22.0,107.0,2.0,2.0,1.6,,2 MB SmartCache,5 GT/s DMI2,15.0,Yes,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,1.00 GHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 2x4",12,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,365.0,700.0
Intel® Celeron® Processor 1000 Series,Mobile,1005M,Launched,15887.0,22.0,75.0,2.0,2.0,1.9,,2 MB,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600	,2,25.6 GB/s,No,,650 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,228.0,227.2
Intel® Celeron® Processor 1000 Series,Mobile,1007U,Launched,15706.0,22.0,75.0,2.0,2.0,1.5,,2 MB SmartCache,5 GT/s DMI,17.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,314.2,613.2
Intel® Celeron® Processor 1000 Series,Mobile,1017U,Launched,15887.0,22.0,75.0,2.0,2.0,1.6,,2 MB,5 GT/s DMI,17.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600	,2,25.6 GB/s,No,,350 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,335.8,649.2
Intel® Celeron® Processor 1000 Series,Mobile,1019Y,Launched,15796.0,22.0,,2.0,2.0,1.0,,2 MB,5 GT/s DMI,10.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,800 MHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,,,,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,191.0,381.2
Intel® Celeron® Processor 1000 Series,Mobile,1037U,Launched,15706.0,22.0,,2.0,2.0,1.8,,2 MB SmartCache,5 GT/s DMI,17.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 & 2x4",1,105C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,321.8,615.2
Legacy Intel® Celeron® Processor,Mobile,B800,Launched,15065.0,32.0,,2.0,2.0,1.5,,2 MB L3,5 GT/s DMI,35.0,No,Yes,16 GB,DDR3 1066/1333,2,21.3 GB/s,No,,650 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT ,,,,,,,2,"1x16, 2x8, 1x8 2x4",16,100C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,383.6,2336.2
Legacy Intel® Celeron® Processor,Desktop,G530,End of Life,15156.0,32.0,42.0,2.0,2.0,2.4,,2 MB SmartCache,5 GT/s DMI,65.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.00 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,426.2,768.6
Legacy Intel® Celeron® Processor,Mobile,B810,Launched,14975.0,32.0,72.0,2.0,2.0,1.6,,2 MB SmartCache,,35.0,Yes,Yes,16.6 GB,DDR3 1066/1333,2,21.3 GB/s,No,,650 MHz,950 MHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",16,100C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,349.0,713.0
Legacy Intel® Celeron® Processor,Desktop,G530T,End of Life,15156.0,32.0,,2.0,2.0,2.0,,2 MB SmartCache,5 GT/s DMI,35.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,650 MHz,1.00 GHz,,,,,,,,,2,,,65.0°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,393.0,744.0
Legacy Intel® Celeron® Processor,Desktop,G540,Launched,15156.0,32.0,40.0,2.0,2.0,2.5,,2 MB SmartCache,5 GT/s DMI,65.0,Yes,Yes,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.00 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,432.4,830.4
Legacy Intel® Celeron® Processor,Mobile,B815,Launched,15340.0,32.0,,2.0,2.0,1.6,,2 MB L3,5 GT/s DMI,35.0,No,Yes,16 GB,DDR3 1066/1333,2,21.3 GB/s,No,,650 MHz,1.05 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",16,100C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,193.2,384.6
